196
9/13,2/13
6/13,1
11/13,11/13
5/13,8/13
3/13,7/13
1/13,1/13
0,5/13
12/13,10/13
0,7/13
7/13,1
3/13,9/13
3/13,8/13
8/13,12/13
8/13,1/13
7/13,9/13
2/13,7/13
9/13,6/13
8/13,0
9/13,8/13
12/13,6/13
9/13,10/13
0,3/13
1,1
1/13,1
7/13,4/13
5/13,12/13
9/13,9/13
6/13,11/13
9/13,11/13
6/13,5/13
11/13,1/13
5/13,1/13
0,1
8/13,11/13
1/13,3/13
7/13,5/13
0,2/13
4/13,11/13
12/13,12/13
0,4/13
9/13,4/13
8/13,3/13
6/13,8/13
4/13,6/13
2/13,10/13
4/13,10/13
1/13,6/13
4/13,0
4/13,8/13
1/13,11/13
2/13,6/13
10/13,3/13
6/13,2/13
0,0
10/13,4/13
2/13,0
12/13,2/13
4/13,9/13
3/13,5/13
1/13,0
3/13,4/13
1/13,5/13
12/13,3/13
11/13,2/13
11/13,4/13
6/13,12/13
10/13,9/13
7/13,12/13
2/13,11/13
10/13,8/13
8/13,4/13
8/13,8/13
7/13,11/13
7/13,1/13
5/13,11/13
5/13,6/13
10/13,1
5/13,2/13
9/13,1
3/13,10/13
1,0
1/13,4/13
10/13,5/13
1,9/13
4/13,2/13
11/13,5/13
1,11/13
2/13,5/13
2/13,2/13
1,5/13
12/13,1
7/13,3/13
1/13,8/13
7/13,0
12/13,11/13
9/13,12/13
4/13,4/13
3/13,6/13
6/13,0
9/13,3/13
9/13,7/13
5/13,0
6/13,9/13
8/13,2/13
5/13,10/13
11/13,3/13
1,3/13
8/13,7/13
9/13,5/13
7/13,7/13
6/13,6/13
10/13,11/13
12/13,1/13
11/13,6/13
12/13,4/13
10/13,1/13
3/13,11/13
10/13,12/13
12/13,9/13
9/13,1/13
7/13,10/13
12/13,7/13
8/13,9/13
11/13,9/13
1,6/13
0,6/13
11/13,7/13
12/13,0
12/13,8/13
1/13,7/13
11/13,0
10/13,10/13
4/13,3/13
10/13,2/13
12/13,5/13
10/13,0
1,12/13
4/13,12/13
1,7/13
9/13,0
2/13,9/13
5/13,9/13
4/13,5/13
6/13,3/13
6/13,10/13
4/13,1/13
11/13,8/13
3/13,2/13
0,9/13
3/13,1/13
7/13,6/13
0,11/13
10/13,7/13
5/13,5/13
6/13,7/13
0,1/13
3/13,12/13
1/13,12/13
3/13,0
5/13,7/13
1,10/13
1/13,10/13
2/13,3/13
8/13,10/13
8/13,1
5/13,4/13
6/13,4/13
4/13,7/13
2/13,4/13
0,10/13
11/13,12/13
10/13,6/13
2/13,1/13
6/13,1/13
8/13,6/13
1,8/13
2/13,8/13
1,2/13
1,1/13
2/13,12/13
1,4/13
7/13,2/13
1/13,9/13
11/13,1
2/13,1
3/13,3/13
0,8/13
4/13,1
11/13,10/13
5/13,1
3/13,1
7/13,8/13
0,12/13
5/13,3/13
1/13,2/13
8/13,5/13
169
4 136 22 90 38
4 86 136 38 94
4 90 183 170 38
4 170 2 94 38
4 160 86 94 7
4 94 2 188 7
4 183 76 117 170
4 117 111 2 170
4 111 131 188 2
4 83 160 7 118
4 7 188 123 118
4 188 131 66 123
4 76 78 95 117
4 95 28 111 117
4 28 20 131 111
4 20 26 66 131
4 175 83 118 128
4 118 123 146 128
4 123 66 69 146
4 66 26 18 69
4 78 164 12 95
4 12 33 28 95
4 33 163 20 28
4 163 122 26 20
4 122 71 18 26
4 138 175 128 121
4 128 146 126 121
4 146 69 152 126
4 69 18 100 152
4 18 71 107 100
4 164 9 67 12
4 67 72 33 12
4 72 120 163 33
4 120 14 122 163
4 14 191 71 122
4 191 109 107 71
4 124 138 121 19
4 121 126 113 19
4 126 152 171 113
4 152 100 16 171
4 100 107 174 16
4 107 109 150 174
