367
1352/8077,-13647/226156
50/287,6/41
4005329/22615600,-161261/2826950
2003551/11307800,-11589/201925
1002051/5653900,-324409/5653900
20701/113078,-4201/32308
2113631/11307800,-303703/5653900
845807/4523120,-305673/5653900
4230137/22615600,-30559/565390
528851/2826950,-43949/807700
151179/807700,-307477/5653900
106263/565390,-208277/1615400
2147538/11138183,-20220597/159116900
3543809/18375175,-1000616/7875075
174539/904624,-360231/2826950
4451399/22615600,-20337/403850
1113293/5653900,-71672/1413475
2227137/11307800,-57321/1130780
890989/4523120,-144329/2826950
318337/1615400,-72657/1413475
4457149/22615600,-72123/1413475
557503/2826950,-290379/5653900
56356668/278454575,-19639847/159116900
1431758/7067375,-298903/2423100
4586079/22615600,-25132/201925
4587181/22615600,-703613/5653900
2294477/11307800,-705583/5653900
233887/1130780,-265567/5653900
4679513/22615600,-267537/5653900
936123/4523120,-133727/2826950
2340643/11307800,-38501/807700
4683059/22615600,-271477/5653900
66907/323080,-269341/5653900
292802/1413475,-273447/5653900
937273/4523120,-67807/1413475
117231/565390,-54623/1130780
59051304/278454575,-19053347/159116900
19515469/91875875,-941966/7875075
4810887/22615600,-171691/1413475
4813091/22615600,-343299/2826950
2406881/11307800,-688651/5653900
300929/1413475,-172142/1413475
688091/3230800,-345269/2826950
12457/57400,-9/205
24923/114800,-127/2870
6233/28700,-64/1435
3563/16400,-129/2870
499/2296,-13/287
61772358/278454575,-18461097/159116900
4085378/18375175,-3648839/31500300
5037899/22615600,-334833/2826950
2520387/11307800,-671553/5653900
1008241/4523120,-95631/807700
2521489/11307800,-671387/5653900
5043649/22615600,-33672/282695
5044751/22615600,-673357/5653900
180233/807700,-675327/5653900
12903966/55690915,-17863097/159116900
108361/466375,-4478/39975
150489/646160,-326201/2826950
526999/2261560,-654289/5653900
26759/114800,-331/2870
1054573/4523120,-164044/1413475
239/1025,-166/1435
26777/114800,-333/2870
263787/1130780,-94009/807700
13393/57400,-167/1435
5359/22960,-67/574
469/592,99/740
8743267/11032000,102033/788000
4371777/5516000,50873/394000
1173/1480,124/925
8743841/11032000,101459/788000
1196501/1509600,100897/754800
136627/172375,25293/197000
1748883/2206400,20177/157600
2186781/2758000,25529/197000
2347/2960,497/3700
8747411/11032000,101829/788000
1197011/1509600,101101/754800
4373849/5516000,50771/394000
299263/377400,50407/377400
1749597/2206400,20251/157600
546767/689500,12621/98500
8750981/11032000,102199/788000
587/740,249/1850
2187817/2758000,12739/98500
1197521/1509600,20261/150960
1750311/2206400,813/6304
598781/754800,50509/377400
4375921/5516000,50669/394000
399201/503200,33577/251600
8752129/11032000,101051/788000
2349/2960,499/3700
4377419/5516000,51141/394000
1198031/1509600,101509/754800
70041/88256,20399/157600
149759/188700,50611/377400
2188853/2758000,25427/197000
399371/503200,6729/50320
8755699/11032000,101421/788000
599077/754800,12581/94350
4377993/5516000,50567/394000
1751739/2206400,20473/157600
4379491/5516000,51039/394000
8759269/11032000,101791/788000
2189889/2758000,3172/24625
8759843/11032000,101217/788000
30183939/37991450,2216503/21709400
15098574/18995725,1109689/10854700
30210357/37991450,2222253/21709400
795357/999775,14639/142825
1209471/1519658,2228003/21709400
4401051/5516000,21599/394000
8802389/11032000,42911/788000
2200669/2758000,1332/24625
8802963/11032000,42337/788000
35213/44128,841/15760
8805959/11032000,43281/788000
4403123/5516000,21497/394000
8806533/11032000,42707/788000
440341/551600,2121/39400
8807107/11032000,42133/788000
1101227/1379000,10841/197000
8810103/11032000,43077/788000
881039/1103200,4279/78800
8810677/11032000,42503/788000
2202741/2758000,5277/98500
8813673/11032000,43447/788000
220349/275800,1079/19700
8814247/11032000,42873/788000
4407267/5516000,21293/394000
8814821/11032000,42299/788000
881753/1103200,4353/78800
8817817/11032000,43243/788000
