169
3/4,5/6
7/12,1/2
1/12,1/2
11/12,1/4
1/6,7/12
7/12,3/4
1/2,5/6
5/12,2/3
1/3,1/12
1/3,3/4
11/12,5/6
1/4,1/12
0,1/2
1/2,1/3
1,1/12
5/12,1/6
1/4,3/4
7/12,1/3
1/12,3/4
1/6,11/12
1/4,1/3
11/12,2/3
3/4,1/12
5/6,1/2
2/3,3/4
7/12,7/12
1/12,1/3
11/12,1
1,5/6
1/3,1/2
7/12,11/12
2/3,1/4
1/12,5/12
1,0
5/6,2/3
5/6,1/4
1/2,3/4
0,3/4
5/12,5/6
11/12,1/12
1/12,1
5/12,1/3
3/4,3/4
2/3,1/2
1,1
5/6,1/3
0,1/12
3/4,1
5/12,1/4
5/12,11/12
2/3,5/6
1/4,5/12
0,5/12
2/3,1/3
0,1/3
1/2,2/3
11/12,7/12
5/12,1/2
5/6,11/12
5/12,1
5/12,1/12
2/3,11/12
1,1/4
1/2,7/12
2/3,0
1/4,7/12
0,7/12
1/3,1/4
1/2,1
0,11/12
2/3,1/12
3/4,1/3
0,1
5/6,5/6
0,0
7/12,1
1/6,1/6
7/12,0
3/4,2/3
1/6,2/3
3/4,0
1/3,5/6
1/6,1/12
5/6,7/12
1/6,1
1/3,1
7/12,1/4
5/12,5/12
1/12,5/6
1/2,5/12
0,5/6
3/4,11/12
5/6,1/12
1/4,0
11/12,11/12
1,7/12
1/12,2/3
1/12,11/12
1/12,0
2/3,7/12
5/12,7/12
7/12,2/3
1/2,11/12
1/2,1/2
1/3,5/12
1/12,1/6
1,1/2
1,1/6
2/3,5/12
1/4,1/4
1/4,5/6
5/6,0
3/4,5/12
11/12,5/12
1/6,5/6
11/12,3/4
5/6,1/6
1/3,11/12
1/4,11/12
1/6,5/12
3/4,1/4
3/4,7/12
1/3,7/12
1/4,1/6
1/6,0
11/12,1/2
5/6,3/4
1/12,1/4
1/6,1/3
7/12,5/12
5/6,5/12
1/4,1
5/6,1
1/6,1/2
2/3,2/3
0,1/4
11/12,1/3
1/2,1/6
0,2/3
1,1/3
3/4,1/2
11/12,1/6
1/6,1/4
1/2,0
7/12,1/12
7/12,1/6
1/6,3/4
1,3/4
1/3,2/3
1/3,1/3
1/2,1/12
1,2/3
1/4,1/2
7/12,5/6
1/2,1/4
5/12,0
0,1/6
5/12,3/4
1/12,1/12
2/3,1/6
2/3,1
1/12,7/12
3/4,1/6
11/12,0
1/3,1/6
1/4,2/3
1,11/12
1/3,0
1,5/12
144
4 166 44 27 94
4 28 166 94 10
4 27 132 58 94
4 58 73 10 94
4 147 28 10 115
4 10 73 126 115
4 132 47 91 58
4 91 0 73 58
4 0 42 126 73
4 151 147 115 21
4 115 126 34 21
4 126 42 78 34
4 47 160 61 91
4 61 50 0 91
4 50 24 42 0
4 24 134 78 42
4 95 151 21 56
4 21 34 83 56
4 34 78 121 83
4 78 134 99 121
4 160 75 30 61
4 30 153 50 61
4 153 5 24 50
4 5 101 134 24
4 101 25 99 134
4 106 95 56 125
4 56 83 23 125
4 83 121 140 23
4 121 99 43 140
4 99 25 1 43
4 75 68 102 30
4 102 6 153 30
4 6 36 5 153
4 36 55 101 5
4 55 63 25 101
4 63 103 1 25
4 168 106 125 113
4 125 23 130 113
4 23 140 112 130
4 140 43 108 112
4 43 1 129 108
4 1 103 89 129
4 68 59 49 102
4 49 38 6 102
4 38 157 36 6
4 157 7 55 36
4 7 100 63 55
4 100 57 103 63
4 57 87 89 103
4 139 168 113 136
4 113 130 45 136
4 130 112 71 45
4 112 108 53 71
4 108 129 17 53
4 129 89 13 17
4 89 87 41 13
4 59 85 117 49
4 117 81 38 49
4 81 9 157 38
4 9 148 7 157
4 148 122 100 7
4 122 29 57 100
4 29 104 87 57
4 104 149 41 87
4 62 139 136 3
4 136 45 35 3
4 45 71 120 35
4 71 53 31 120
4 53 17 86 31
4 17 13 154 86
4 13 41 48 154
4 41 149 67 48
4 85 131 118 117
4 118 110 81 117
4 110 16 9 81
4 16 165 148 9
4 165 65 122 148
4 65 152 29 122
4 152 51 104 29
4 51 20 149 104
4 20 109 67 149
4 107 62 3 141
4 3 35 116 141
4 35 120 162 116
4 120 31 159 162
4 31 86 145 159
4 86 154 137 145
4 154 48 15 137
4 48 67 164 15
4 67 109 123 164
4 131 84 19 118
4 19 114 110 118
4 114 146 16 110
4 146 79 165 16
4 79 4 65 165
4 4 133 152 65
4 133 119 51 152
4 119 128 20 51
4 128 142 109 20
4 142 76 123 109
4 14 107 141 39
4 141 116 92 39
4 116 162 22 92
4 162 159 70 22
4 159 145 144 70
4 145 137 150 144
4 137 15 60 150
4 15 164 8 60
4 164 123 11 8
4 123 76 82 11
4 84 40 97 19
4 97 88 114 19
4 88 18 146 114
4 18 96 79 146
4 96 161 4 79
4 161 2 133 4
4 2 32 119 133
4 32 26 128 119
4 26 127 142 128
4 127 105 76 142
4 105 158 82 76
4 163 33 14 39
4 111 163 39 92
4 80 111 92 22
4 64 80 22 70
4 77 64 70 144
4 143 77 144 150
4 155 143 150 60
4 167 155 60 8
4 93 167 8 11
4 124 93 11 82
4 98 124 82 158
4 97 40 72 69
4 88 97 69 90
4 18 88 90 37
4 96 18 37 138
4 161 96 138 66
4 2 161 66 12
4 32 2 12 52
4 26 32 52 54
4 127 26 54 135
4 105 127 135 156
4 158 105 156 46
4 74 98 158 46
1/12,0
1/12,0
1/12,0
1/12,1/12
0,1/12
1/12,1/12
0,0
1/12,0
0,1/12
0,1/12
1/12,0
1/12,1/12
0,0
0,0
0,1/12
1/12,0
1/12,1/12
1/12,0
1/12,1/12
0,1/12
1/12,0
1/12,0
1/12,1/12
0,0
0,1/12
1/12,1/12
1/12,0
1/12,0
0,0
0,0
1/12,1/12
0,1/12
1/12,1/12
0,0
0,0
0,1/12
0,1/12
0,1/12
1/12,0
1/12,1/12
1/12,0
1/12,0
1/12,1/12
0,0
0,0
0,0
0,1/12
1/12,0
1/12,1/12
1/12,1/12
0,0
1/12,1/12
0,1/12
0,0
0,0
0,0
1/12,1/12
1/12,0
0,1/12
1/12,0
1/12,1/12
0,1/12
0,1/12
0,1/12
0,0
1/12,1/12
0,1/12
0,1/12
0,0
0,1/12
0,1/12
1/12,0
0,0
0,0
0,0
1/12,0
0,0
1/12,0
1/12,0
0,0
1/12,0
0,0
0,1/12
0,1/12
0,0
0,0
1/12,1/12
1/12,1/12
1/12,0
0,1/12
0,0
1/12,1/12
0,1/12
1/12,0
1/12,1/12
0,1/12
1/12,0
1/12,1/12
1/12,0
0,1/12
1/12,1/12
1/12,0
0,1/12
0,0
0,1/12
1/12,0
0,0
0,0
0,1/12
1/12,1/12
1/12,0
0,0
1/12,1/12
1/12,1/12
0,0
1/12,1/12
0,0
0,1/12
1/12,1/12
0,1/12
1/12,1/12
1/12,1/12
0,1/12
1/12,0
0,0
1/12,0
0,1/12
1/12,1/12
0,0
1/12,1/12
0,1/12
1/12,0
0,0
0,0
0,0
0,1/12
1/12,0
0,0
0,0
0,0
1/12,0
1/12,0
0,1/12
0,0
1/12,1/12
1/12,0
0,1/12
0,1/12
0,0
0,0
0,1/12
0,0
1/12,0
1/12,0
0,1/12
1/12,0
0,0
1/12,1/12
1/12,1/12
0,0
0,0
1/12,1/12
1/12,0
1/12,0
0,0
1/12,0
0,1/12
0,0
0,1/12
